,Year,Month,Day,State,Latitude,Longitude,Suburb
2208,1996,4,23,Queensland,-27.57308,152.88472,Moggill
2209,1974,7,5,Queensland,-22.976111,150.756667,Woodbury (Qld)
2210,1997,9,1,Queensland,-27.381605,152.854589,Wights Mountain
2211,2016,5,31,Queensland,-19.17831,145.92485,Paluma
2212,1974,1,1,Queensland,-23.715,149.667778,Duaringa
2213,1969,1,1,Queensland,-20.131667,144.534444,Porcupine
2214,2008,4,23,Queensland,-16.502581,144.998236,Mount Carbine
2215,1994,2,28,Queensland,-12.769494,143.283617,Iron Range
2216,1975,1,1,Queensland,-24.565,149.401111,Bauhinia
2217,1970,1,1,Queensland,-15.426111,145.151111,Cooktown
2218,1967,1,1,Queensland,-19.698333,144.384444,Porcupine
2219,2002,10,1,Queensland,-22.815599,149.035509,Mackenzie River
2220,2005,11,7,Queensland,-26.676137,152.743141,Curramore (Qld)
2221,1936,1,1,Queensland,-17.098333,145.784444,Gordonvale
2222,1974,1,1,Queensland,-21.481667,148.534444,Hail Creek
2223,1993,6,1,Queensland,-26.906739,152.976062,Glass House Mountains
2224,1992,9,25,Queensland,-27.173408,152.559405,Crossdale
2225,1972,1,1,Queensland,-27.981667,153.351111,Molendinar
2226,1974,1,1,Queensland,-27.49,153.159444,Gumdale
2227,1964,1,1,Queensland,-26.198333,152.092778,Goomeri
2228,1993,1,23,Queensland,-27.4234,153.542725,
2229,2013,5,24,Queensland,-16.557625,145.130542,Mount Carbine
2230,1944,1,1,Queensland,-24.898333,152.251111,Branyan
2231,1985,1,1,Queensland,-27.323405,152.942733,Warner
2232,2000,7,1,Queensland,-21.299167,149.2775,Hay Point
2233,1993,4,1,Queensland,-26.906739,152.976062,Glass House Mountains
2234,1981,12,6,Queensland,-24.198419,151.801058,Eurimbula
2235,2002,1,1,Queensland,-21.1955,148.5524,Crediton
2236,1980,9,9,Queensland,-27.622957,153.16529,Daisy Hill (Qld)
2237,2014,4,1,Queensland,-24.35344,150.95924,Tablelands (Gladstone - Qld)
2238,1974,1,1,Queensland,-26.856667,152.584444,Mount Kilcoy
2239,2004,12,30,Queensland,-27.417502,153.460359,North Stradbroke Island
2240,1970,1,1,Queensland,-26.073407,152.959388,Cooloola
2241,2016,9,11,Queensland,-16.510945,145.032158,Mount Carbine
2242,2001,11,12,Queensland,-25.090525,149.264148,Glenhaughton
2243,1997,11,24,Queensland,-25.505072,153.128732,Fraser Island
2244,1936,1,1,Queensland,-16.898466,145.66777,Speewah
2245,1974,1,1,Queensland,-28.248333,147.717778,Dirranbandi
2246,1993,8,19,Queensland,-27.006739,152.94273,Elimbah
2247,1992,8,24,Queensland,-27.406737,152.992733,Everton Park
2248,1979,6,13,Queensland,-13.706823,143.209452,Coen
