,Year,Month,Day,State,Latitude,Longitude,postcode,state_code,Suburb,combined_location
13190,2022,4,20,Northern Territory,-15.355051,132.885962,852,Northern Territory,Sturt Plateau,"Sturt Plateau, 852, Northern Territory"
13191,2014,6,30,Northern Territory,-16.72548,137.42113,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
13192,2021,8,4,Northern Territory,-16.50494,132.81171,852,Northern Territory,Birdum,"Birdum, 852, Northern Territory"
13193,2016,8,25,Northern Territory,-14.262722,134.512625,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
13194,2018,5,23,Northern Territory,-14.01414,132.32462,852,Northern Territory,Nitmiluk,"Nitmiluk, 852, Northern Territory"
13195,2013,8,11,Northern Territory,-14.256824,134.506059,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
13196,2022,2,5,Northern Territory,-14.99215,133.39183,852,Northern Territory,Elsey,"Elsey, 852, Northern Territory"
13197,2016,10,15,Northern Territory,-12.913217,132.64286,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
13198,1996,10,20,Northern Territory,-12.374757,130.89731,812,Northern Territory,Leanyer,"Leanyer, 812, Northern Territory"
13199,2011,8,6,Northern Territory,-14.2867,134.48151,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
13200,2014,8,8,Northern Territory,-14.262722,134.512625,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
13201,2017,7,11,Northern Territory,-17.39196,137.8877,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
13202,2017,4,20,Northern Territory,-14.17017,132.38104,852,Northern Territory,Nitmiluk,"Nitmiluk, 852, Northern Territory"
13203,2022,2,20,Northern Territory,-15.31077,132.86639,852,Northern Territory,Sturt Plateau,"Sturt Plateau, 852, Northern Territory"
13204,2017,6,29,Northern Territory,-12.491239,133.108509,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
13205,2014,6,8,Northern Territory,-14.155457,131.054888,822,Northern Territory,Tipperary,"Tipperary, 822, Northern Territory"
13206,2011,4,17,Northern Territory,-14.261859,132.560508,852,Northern Territory,Nitmiluk,"Nitmiluk, 852, Northern Territory"
13207,2016,9,7,Northern Territory,-13.557461,132.360898,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
13208,2016,9,12,Northern Territory,-13.557461,132.360898,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
13209,2016,10,21,Northern Territory,-12.965138,132.625482,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
13210,2017,7,18,Northern Territory,-16.88943,137.83595,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
